doyfrac,doy,timefrac,site,chl_rfu,chl,cond,nLF cond,odo_sat,odo_satlocal,odo,salinity,spcond,pc_rfu,pc,tds,wiper,ph,ph_mv,temp,battery,cablepower
226.17,226,0.17,Green Valley 2019 - Site 8803,0.17,13.86,168.4,160.6,116,116,9.19,0.07,161.4,2.01,4.56,105,1.201,10.35,-261.9,27.286,2.57,1.7
226.18,226,0.18,Green Valley 2019 - Site 8804,0.15,13.78,168.5,160.6,115.9,115.9,9.18,0.07,161.4,1.95,4.51,105,1.211,10.31,-259.8,27.307,2.57,1.7
226.19,226,0.19,Green Valley 2019 - Site 8805,0.17,13.86,168.2,160.4,115.7,115.7,9.17,0.07,161.2,2.04,4.6,105,1.206,10.3,-258.9,27.271,2.57,1.7
226.2,226,0.2,Green Valley 2019 - Site 8806,0.17,13.87,168,160.4,115.5,115.5,9.17,0.07,161.2,2.03,4.59,105,1.193,10.29,-258.3,27.211,2.57,1.7
226.21,226,0.21,Green Valley 2019 - Site 8807,0.14,13.74,167.6,160.3,115.3,115.3,9.15,0.07,161,2.13,4.68,105,1.199,10.28,-257.4,27.165,2.57,1.7
226.22,226,0.22,Green Valley 2019 - Site 8808,0.13,13.72,167.6,160.3,115.1,115.1,9.14,0.07,161,2.2,4.76,105,1.2,10.28,-257.8,27.144,2.57,1.7
226.23,226,0.23,Green Valley 2019 - Site 8809,0.15,13.79,167.3,160.1,114.9,114.9,9.13,0.07,160.8,2.18,4.73,105,1.196,10.28,-258,27.123,2.57,1.7
226.24,226,0.24,Green Valley 2019 - Site 8810,0.15,13.81,167.1,160.1,114.7,114.7,9.12,0.07,160.8,2.22,4.78,105,1.198,10.27,-257,27.07,2.57,1.7
226.25,226,0.25,Green Valley 2019 - Site 8811,0.18,13.9,166.9,160,114.5,114.5,9.11,0.07,160.7,2.15,4.71,104,1.21,10.27,-257.3,27.035,2.57,1.7
226.26,226,0.26,Green Valley 2019 - Site 8812,0.2,13.98,166.6,159.9,114.2,114.2,9.1,0.07,160.6,2.07,4.63,104,1.203,10.26,-256.3,26.973,2.57,1.7
226.27,226,0.27,Green Valley 2019 - Site 8813,0.16,13.81,166.6,160,113.9,113.9,9.09,0.07,160.6,1.93,4.49,104,1.197,10.27,-257.2,26.946,2.57,1.7
226.28,226,0.28,Green Valley 2019 - Site 8814,0.13,13.72,166.5,160,113.7,113.7,9.08,0.07,160.6,1.95,4.5,104,1.2,10.28,-257.3,26.906,2.57,1.6
226.29,226,0.29,Green Valley 2019 - Site 8815,0.18,13.89,166.5,160,113.6,113.6,9.07,0.07,160.6,2.04,4.59,104,1.208,10.27,-256.8,26.901,2.57,1.6
226.3,226,0.3,Green Valley 2019 - Site 8816,0.13,13.7,166.3,159.9,113.5,113.5,9.06,0.07,160.5,2.01,4.57,104,1.211,10.26,-256.5,26.867,2.57,1.6
