doy,taxon,group,biomass,avg_gald,med_gald,mbfg,diazotrophy,heterocystous,toxin_production,motility,buoyancy,mixotrophy,p_affin,max_growth,edibility
164,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
172,Aphanizomenon,Cyanophyta,0.07,4.78125,1.5,4,1,1,1,0,1,0,47.7,0.971,0.3
172,Aphanocapsa,Cyanophyta,0.07,3.5,3.5,7,1,0,1,0,0,0,126,1.24,0.435
172,Aphanothece,Cyanophyta,0,0,0,7,1,1,0,0,0,0,74.5,0.974,0.279
172,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
172,Chalmydomonas,Chlorophyta,0.05,4.25,4.25,3,0,0,0,1,0,0,171,1.79,0.622
172,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
172,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
172,Cryptomonas,Cryptophyta,0,0,0,5,0,0,0,1,0,1,137,1.23,0.553
172,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
172,Dolichospermum,Cyanophyta,3.17,23.33333333,3,3,1,1,1,0,1,0,266,1.1,0.418
172,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
172,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
172,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
172,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
172,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
172,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
172,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
172,Microcystis,Cyanophyta,44.77,5.4125,2.125,7,0,0,1,0,1,0,9.56,0.993,0.225
172,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
172,Oocystis,Chlorophyta,0,0,0,7,0,0,0,0,0,0,187,1.55,0.396
172,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
172,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
172,Pseudanabaena,Cyanophyta,0.01,1.5,1.5,3,1,0,1,0,1,0,371,1.31,0.502
172,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
172,Snowella,Cyanophyta,0,0,0,7,0,0,1,0,0,0,353,1.32,0.516
172,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
172,Stephanodiscus,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,13.1,1.82,0.355
172,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
172,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
172,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
172,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
172,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
178,Aphanizomenon,Cyanophyta,0.01,2,1.25,4,1,1,1,0,1,0,47.7,0.971,0.3
178,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
178,Aphanothece,Cyanophyta,0,0,0,7,1,1,0,0,0,0,74.5,0.974,0.279
178,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
178,Chalmydomonas,Chlorophyta,0.05,2.25,2.25,3,0,0,0,1,0,0,171,1.79,0.622
178,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
178,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
178,Cryptomonas,Cryptophyta,0,0,0,5,0,0,0,1,0,1,137,1.23,0.553
178,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
178,Dolichospermum,Cyanophyta,0.34,5.96,3.75,3,1,1,1,0,1,0,266,1.1,0.418
178,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
178,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
178,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
178,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
178,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
178,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
178,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
178,Microcystis,Cyanophyta,0.82,4.097222222,2.375,7,0,0,1,0,1,0,9.56,0.993,0.225
178,Microcystis_Single,Cyanophyta,0.7,1.083,1,1,0,0,1,0,1,0,9.56,0.993,0.225
178,Oocystis,Chlorophyta,0.02,4,4,7,0,0,0,0,0,0,187,1.55,0.396
178,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
178,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
178,Pseudanabaena,Cyanophyta,0.001809092,1.2,0.75,3,1,0,1,0,1,0,371,1.31,0.502
178,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
178,Snowella,Cyanophyta,0,0,0,7,0,0,1,0,0,0,353,1.32,0.516
178,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
178,Stephanodiscus,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,13.1,1.82,0.355
178,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
178,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
178,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
178,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
178,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
192,Aphanizomenon,Cyanophyta,0,0,0,4,1,1,1,0,1,0,47.7,0.971,0.3
192,Aphanocapsa,Cyanophyta,0.02,3.75,3.75,7,1,0,1,0,0,0,126,1.24,0.435
192,Aphanothece,Cyanophyta,1.4,1.8125,0.5,7,1,1,0,0,0,0,74.5,0.974,0.279
192,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
192,Chalmydomonas,Chlorophyta,0,0,0,3,0,0,0,1,0,0,171,1.79,0.622
192,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
192,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
192,Cryptomonas,Cryptophyta,0,0,0,5,0,0,0,1,0,1,137,1.23,0.553
192,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
192,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
192,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
192,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
192,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
192,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
192,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
192,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
192,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
192,Microcystis,Cyanophyta,269.23,7.816666667,4.25,7,0,0,1,0,1,0,9.56,0.993,0.225
192,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
192,Oocystis,Chlorophyta,0,0,0,7,0,0,0,0,0,0,187,1.55,0.396
192,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
192,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
192,Pseudanabaena,Cyanophyta,0.01,1.333333333,1,3,1,0,1,0,1,0,371,1.31,0.502
192,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
192,Snowella,Cyanophyta,0,0,0,7,0,0,1,0,0,0,353,1.32,0.516
192,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
192,Stephanodiscus,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,13.1,1.82,0.355
192,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
192,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
192,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
192,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
192,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
199,Aphanizomenon,Cyanophyta,0,0,0,4,1,1,1,0,1,0,47.7,0.971,0.3
199,Aphanocapsa,Cyanophyta,0.15,5.25,5.5,7,1,0,1,0,0,0,126,1.24,0.435
199,Aphanothece,Cyanophyta,7.2,7.333333333,0.5,7,1,1,0,0,0,0,74.5,0.974,0.279
199,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
199,Chalmydomonas,Chlorophyta,0,0,0,3,0,0,0,1,0,0,171,1.79,0.622
199,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
199,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
199,Cryptomonas,Cryptophyta,0.17,8.875,8.875,5,0,0,0,1,0,1,137,1.23,0.553
199,Desmodesmus,Chlorophyta,0.01,1.8125,1.75,4,0,0,0,0,0,0,237,1.77,0.408
199,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
199,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
199,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
199,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
199,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
199,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
